DATA,COD_MOEDA,TIPO,MOEDA,TAXA_COMPRA,TAXA_VENDA,PARIDADE_COMPRA,PARIDADE_VENDA
08/11/2022,5,A,AFN,0.05845,0.05859,88.31,88.51
08/11/2022,9,A,ETB,0.09608,0.09778,52.9206,53.8503
08/11/2022,15,A,THB,0.1399,0.14,36.96,36.98
08/11/2022,20,A,PAB,5.1738,5.1744,1.0,1.0
08/11/2022,27,A,VES,0.5926,0.5941,8.7093,8.7311
08/11/2022,30,A,BOB,0.7381,0.7543,6.86,7.01
08/11/2022,35,A,GHS,0.3449,0.3736,13.85,15.0
08/11/2022,40,A,CRC,0.008369,0.008412,615.1,618.2
08/11/2022,45,A,SVC,0.5907,0.5914,8.7495,8.7595
08/11/2022,51,A,NIO,0.1437,0.1438,35.99,36.0
08/11/2022,55,A,DKK,0.7001,0.7003,7.3887,7.3897
08/11/2022,60,A,ISK,0.03552,0.03561,145.32,145.66
08/11/2022,65,A,NOK,0.5072,0.5075,10.1967,10.2001
08/11/2022,70,A,SEK,0.4815,0.4817,10.7414,10.7442
08/11/2022,75,A,CZK,0.2145,0.2146,24.117,24.124
08/11/2022,90,A,GMD,0.0796,0.08469,61.1,65.0
08/11/2022,95,A,DZD,0.03687,0.03711,139.4199,140.3369
08/11/2022,100,A,KWD,16.7437,16.7511,0.3089,0.309
08/11/2022,105,A,BHD,13.7236,13.7288,0.3769,0.377
08/11/2022,115,A,IQD,0.003543,0.003548,1458.5,1460.5
08/11/2022,125,A,JOD,7.287,7.3085,0.708,0.71
08/11/2022,130,A,LYD,1.0355,1.0402,4.9743,4.9966
08/11/2022,132,A,MKD,0.08394,0.08427,61.4,61.64
08/11/2022,133,A,RSD,0.04441,0.04449,116.31,116.51
08/11/2022,134,A,SDG,0.009099,0.009154,565.2502,568.5912
08/11/2022,135,A,TND,1.6116,1.6145,3.2049,3.2103
08/11/2022,136,A,SSP,0.008378,0.008545,605.5748,617.5748
08/11/2022,139,A,MAD,0.4754,0.4757,10.8775,10.8823
08/11/2022,145,A,AED,1.4086,1.4088,3.6729,3.6731
08/11/2022,149,A,STN,0.2083,0.2127,24.3272,24.8336
08/11/2022,155,A,BSD,5.1738,5.1744,1.0,1.0
08/11/2022,160,A,BMD,5.1738,5.1744,1.0,1.0
08/11/2022,165,A,CAD,3.8544,3.8563,1.3418,1.3423
08/11/2022,170,A,GYD,0.02458,0.02488,207.98,210.45
08/11/2022,173,A,NAD,0.2923,0.2925,17.693,17.698
08/11/2022,175,A,BBD,2.5361,2.5897,1.9981,2.0401
