Cod Moeda,Tipo,Moeda,Taxa Compra,Taxa Venda,Paridade Compra,Paridade Venda
005,A,AFN,0.05845,0.05859,88.3100,88.5100
009,A,ETB,0.09608,0.09778,52.9206,53.8503
015,A,THB,0.1399,0.1400,36.9600,36.9800
020,A,PAB,5.1738,5.1744,1.0000,1.0000
027,A,VES,0.5926,0.5941,8.7093,8.7311
030,A,BOB,0.7381,0.7543,6.8600,7.0100
035,A,GHS,0.3449,0.3736,13.8500,15.0000
040,A,CRC,0.008369,0.008412,615.1000,618.2000
045,A,SVC,0.5907,0.5914,8.7495,8.7595
051,A,NIO,0.1437,0.1438,35.9900,36.0000
055,A,DKK,0.7001,0.7003,7.3887,7.3897
060,A,ISK,0.03552,0.03561,145.3200,145.6600
065,A,NOK,0.5072,0.5075,10.1967,10.2001
070,A,SEK,0.4815,0.4817,10.7414,10.7442
075,A,CZK,0.2145,0.2146,24.1170,24.1240
090,A,GMD,0.0796,0.08469,61.1000,65.0000
095,A,DZD,0.03687,0.03711,139.4199,140.3369
100,A,KWD,16.7437,16.7511,0.3089,0.3090
105,A,BHD,13.7236,13.7288,0.3769,0.3770
115,A,IQD,0.003543,0.003548,1458.5000,1460.5000
125,A,JOD,7.2870,7.3085,0.7080,0.7100
130,A,LYD,1.0355,1.0402,4.9743,4.9966
132,A,MKD,0.08394,0.08427,61.4000,61.6400
133,A,RSD,0.04441,0.04449,116.3100,116.5100
134,A,SDG,0.009099,0.009154,565.2502,568.5912
135,A,TND,1.6116,1.6145,3.2049,3.2103
136,A,SSP,0.008378,0.008545,605.5748,617.5748
138,B,XDR,6.6644,6.6651,1.2881,1.2881
139,A,MAD,0.4754,0.4757,10.8775,10.8823
145,A,AED,1.4086,1.4088,3.6729,3.6731
149,A,STN,0.2083,0.2127,24.3272,24.8336
150,B,AUD,3.3790,3.3815,0.6531,0.6535
155,A,BSD,5.1738,5.1744,1.0000,1.0000
160,A,BMD,5.1738,5.1744,1.0000,1.0000
165,A,CAD,3.8544,3.8563,1.3418,1.3423
170,A,GYD,0.02458,0.02488,207.9800,210.4500
173,A,NAD,0.2923,0.2925,17.6930,17.6980
175,A,BBD,2.5361,2.5897,1.9981,2.0401
180,A,BZD,2.5447,2.5895,1.9982,2.0332
185,A,BND,3.7003,3.7016,1.3979,1.3982
190,A,KYD,6.1962,6.2720,0.8250,0.8350
195,A,SGD,3.7003,3.7016,1.3979,1.3982
197,B,CLF,199.9208,199.9440,38.6410,38.6410
200,B,FJD,2.2568,2.3150,0.4362,0.4474
205,A,HKD,0.6591,0.6592,7.8497,7.8499
210,A,TTD,0.7580,0.7642,6.7709,6.8260
215,A,XCD,1.9021,1.9164,2.7000,2.7200
220,A,USD,5.1738,5.1744,1.0000,1.0000
230,A,JMD,0.03338,0.0345,150.0000,155.0000
235,A,LRD,0.03338,0.03393,152.5000,155.0000
245,B,NZD,3.0944,3.0969,0.5981,0.5985
250,B,SBD,0.6157,0.6365,0.1190,0.1230
255,A,SRD,0.1721,0.1758,29.4300,30.0700
260,A,VND,0.000208,0.000208,24871.0000,24872.0000
275,A,AMD,0.01293,0.01318,392.5000,400.0000
295,A,CVE,0.04682,0.04725,109.5000,110.5000
325,A,ANG,2.8427,2.8996,1.7845,1.8200
328,A,AWG,2.8118,2.9070,1.7800,1.8400
345,A,HUF,0.01294,0.01296,399.2200,399.7300
363,A,CDF,0.002464,0.002576,2009.0000,2100.0000
365,A,BIF,0.002464,0.00254,2037.2500,2100.0000
368,A,KMF,0.01024,0.01026,504.5000,505.4000
370,A,XAF,0.007686,0.007844,659.7000,673.1400
372,A,XOF,0.007842,0.007927,652.7500,659.7500
380,A,XPF,0.04314,0.04351,118.9200,119.9400
390,A,DJF,0.02898,0.02915,177.5000,178.5500
398,A,GNF,0.0005957,0.0006051,8551.0000,8685.0000
406,A,MGA,0.001203,0.00121,4275.0000,4300.0000
420,A,RWF,0.004835,0.00485,1066.8900,1070.0000
425,A,CHF,5.2526,5.2553,0.9846,0.9850
440,A,HTG,0.03861,0.04011,129.0000,134.0000
450,A,PYG,0.0007248,0.0007254,7132.8400,7138.0900
460,A,UAH,0.1401,0.1418,36.5000,36.9340
470,A,JPY,0.03556,0.03557,145.4800,145.5100
482,A,GEL,1.8780,1.9200,2.6950,2.7550
490,A,ALL,0.04437,0.04469,115.7800,116.6000
495,A,HNL,0.2086,0.2101,24.6306,24.8000
500,A,SLL,0.0002912,0.000295,17540.0000,17765.0000
503,A,MDL,0.2679,0.2694,19.2100,19.3100
506,A,RON,1.0628,1.0643,4.8619,4.8682
510,A,BGN,2.6632,2.6646,1.9419,1.9427
530,B,GIP,5.9395,5.9454,1.1480,1.1490
535,A,EGP,0.2122,0.2129,24.3100,24.3800
540,B,GBP,5.9819,5.9852,1.1562,1.1567
545,B,FKP,5.9395,5.9454,1.1480,1.1490
560,A,LBP,0.003407,0.003437,1505.7000,1518.7000
570,B,SHP,6.1568,6.1627,1.1900,1.1910
575,A,SYP,0.002059,0.002062,2510.0000,2513.0000
585,A,SZL,0.2925,0.2927,17.6810,17.6890
603,A,LSL,0.2924,0.2928,17.6750,17.6950
608,A,TMT,1.4782,1.4826,3.4900,3.5000
622,A,MZN,0.0796,0.08182,63.2400,65.0000
625,A,ERN,0.3415,0.3450,15.0000,15.1500
630,A,NGN,0.01174,0.01177,439.5300,440.5300
635,A,AOA,0.01056,0.01078,480.0000,490.0000
640,A,TWD,0.1624,0.1625,31.8430,31.8530
642,A,TRY,0.2782,0.2783,18.5916,18.5965
660,A,PEN,1.3161,1.3203,3.9190,3.9313
665,A,BTN,0.06339,0.06344,81.5600,81.6150
670,A,MRO,0.01441,0.01453,356.0000,359.0000
671,A,MRU,0.1356,0.1369,37.7901,38.1501
