DATA,COD_MOEDA,TIPO,MOEDA,TAXA_COMPRA,TAXA_VENDA,PARIDADE_COMPRA,PARIDADE_VENDA
07/11/2022,005,A,AFN,0.05753,0.05767,88.2400,88.4400
07/11/2022,009,A,ETB,0.09448,0.09617,52.9148,53.8503
07/11/2022,015,A,THB,0.1360,0.1361,37.3800,37.4100
07/11/2022,020,A,PAB,5.0880,5.0886,1.0000,1.0000
07/11/2022,027,A,VES,0.5798,0.5813,8.7533,8.7752
07/11/2022,030,A,BOB,0.7269,0.7429,6.8500,7.0000
07/11/2022,035,A,GHS,0.3449,0.3701,13.7500,14.7500
07/11/2022,040,A,CRC,0.008207,0.008274,615.0000,620.0000
07/11/2022,045,A,SVC,0.5808,0.5816,8.7498,8.7598
07/11/2022,051,A,NIO,0.1413,0.1414,35.9900,36.0000
07/11/2022,055,A,DKK,0.6840,0.6841,7.4379,7.4386
07/11/2022,060,A,ISK,0.03484,0.03492,145.7100,146.0400
07/11/2022,065,A,NOK,0.4967,0.4970,10.2388,10.2441
07/11/2022,070,A,SEK,0.4685,0.4687,10.8566,10.8596
07/11/2022,075,A,CZK,0.2092,0.2093,24.3130,24.3230
07/11/2022,090,A,GMD,0.07828,0.08342,61.0000,65.0000
07/11/2022,095,A,DZD,0.03616,0.03651,139.3797,140.6946
07/11/2022,100,A,KWD,16.4341,16.4414,0.3095,0.3096
07/11/2022,105,A,BHD,13.4960,13.5012,0.3769,0.3770
07/11/2022,115,A,IQD,0.003484,0.003489,1458.5200,1460.5200
07/11/2022,125,A,JOD,7.1662,7.1873,0.7080,0.7100
07/11/2022,130,A,LYD,1.0156,1.0203,4.9876,5.0099
07/11/2022,132,A,MKD,0.08234,0.08266,61.5600,61.7900
07/11/2022,133,A,RSD,0.04332,0.04345,117.1200,117.4600
07/11/2022,134,A,SDG,0.00895,0.009004,565.1502,568.4912
07/11/2022,135,A,TND,1.5855,1.5872,3.2060,3.2090
07/11/2022,136,A,SSP,0.008239,0.008403,605.5745,617.5745
07/11/2022,138,B,XDR,6.5513,6.5521,1.2876,1.2876
07/11/2022,139,A,MAD,0.4658,0.4665,10.9091,10.9221
07/11/2022,145,A,AED,1.3851,1.3855,3.6727,3.6735
07/11/2022,149,A,STN,0.2035,0.2077,24.4975,25.0075
07/11/2022,150,B,AUD,3.2924,3.2939,0.6471,0.6473
07/11/2022,155,A,BSD,5.0880,5.0886,1.0000,1.0000
07/11/2022,160,A,BMD,5.0880,5.0886,1.0000,1.0000
07/11/2022,165,A,CAD,3.7708,3.7724,1.3489,1.3493
07/11/2022,170,A,GYD,0.02418,0.02447,207.9800,210.4500
07/11/2022,173,A,NAD,0.2875,0.2876,17.6910,17.6960
07/11/2022,175,A,BBD,2.4940,2.5467,1.9981,2.0401
07/11/2022,180,A,BZD,2.5025,2.5466,1.9982,2.0332
07/11/2022,185,A,BND,3.6270,3.6288,1.4023,1.4028
07/11/2022,190,A,KYD,6.0934,6.1680,0.8250,0.8350
07/11/2022,195,A,SGD,3.6270,3.6288,1.4023,1.4028
07/11/2022,197,B,CLF,192.1381,192.1608,37.7630,37.7630
07/11/2022,200,B,FJD,2.2082,2.2654,0.4340,0.4452
07/11/2022,205,A,HKD,0.6482,0.6482,7.8498,7.8499
07/11/2022,210,A,TTD,0.7454,0.7541,6.7475,6.8260
07/11/2022,215,A,XCD,1.8706,1.8847,2.7000,2.7200
07/11/2022,220,A,USD,5.0880,5.0886,1.0000,1.0000
07/11/2022,230,A,JMD,0.03287,0.03346,152.1000,154.8000
07/11/2022,235,A,LRD,0.03283,0.03337,152.5000,155.0000
07/11/2022,245,B,NZD,3.0151,3.0175,0.5926,0.5930
07/11/2022,250,B,SBD,0.6080,0.6284,0.1195,0.1235
07/11/2022,255,A,SRD,0.1692,0.1734,29.3400,30.0700
07/11/2022,260,A,VND,0.0002046,0.0002046,24870.0000,24874.0000
07/11/2022,275,A,AMD,0.01272,0.01301,391.0350,400.0000
07/11/2022,295,A,CVE,0.04571,0.04616,110.2500,111.3000
07/11/2022,325,A,ANG,2.7956,2.8516,1.7845,1.8200
07/11/2022,328,A,AWG,2.7652,2.8588,1.7800,1.8400
07/11/2022,345,A,HUF,0.0127,0.01272,400.1500,400.4900
07/11/2022,363,A,CDF,0.002423,0.002533,2009.0000,2100.0000
07/11/2022,365,A,BIF,0.002423,0.002498,2036.8000,2100.0000
07/11/2022,368,A,KMF,0.01007,0.01009,504.5000,505.4000
07/11/2022,370,A,XAF,0.007533,0.007731,658.1800,675.4300
07/11/2022,372,A,XOF,0.007663,0.007745,657.0000,664.0000
07/11/2022,380,A,XPF,0.04238,0.04276,119.0000,120.0500
07/11/2022,390,A,DJF,0.0285,0.02867,177.5000,178.5500
07/11/2022,398,A,GNF,0.0005858,0.0005951,8551.0000,8685.0000
07/11/2022,406,A,MGA,0.001183,0.001192,4269.0000,4300.0000
07/11/2022,420,A,RWF,0.004755,0.004771,1066.6600,1070.0000
07/11/2022,425,A,CHF,5.1420,5.1431,0.9894,0.9895
07/11/2022,440,A,HTG,0.03797,0.03945,129.0000,134.0000
07/11/2022,450,A,PYG,0.0007095,0.0007101,7165.7100,7170.9600
07/11/2022,460,A,UAH,0.1378,0.1394,36.5000,36.9340
07/11/2022,470,A,JPY,0.03474,0.03475,146.4400,146.4700
07/11/2022,482,A,GEL,1.8468,1.8882,2.6950,2.7550
07/11/2022,490,A,ALL,0.04339,0.04375,116.3000,117.2500
07/11/2022,495,A,HNL,0.2052,0.2066,24.6325,24.8000
07/11/2022,500,A,SLL,0.0002862,0.0002899,17555.0000,17780.0000
07/11/2022,503,A,MDL,0.2634,0.2648,19.2200,19.3200
07/11/2022,506,A,RON,1.0404,1.0420,4.8833,4.8902
07/11/2022,510,A,BGN,2.6011,2.6027,1.9551,1.9561
07/11/2022,530,B,GIP,5.8156,5.8214,1.1430,1.1440
07/11/2022,535,A,EGP,0.2090,0.2095,24.2900,24.3500
07/11/2022,540,B,GBP,5.8329,5.8356,1.1464,1.1468
07/11/2022,545,B,FKP,5.8156,5.8214,1.1430,1.1440
07/11/2022,560,A,LBP,0.003351,0.00338,1505.5000,1518.5000
07/11/2022,570,B,SHP,6.0573,6.0631,1.1905,1.1915
07/11/2022,575,A,SYP,0.002024,0.002027,2511.0000,2514.0000
07/11/2022,585,A,SZL,0.2875,0.2876,17.6910,17.6960
07/11/2022,603,A,LSL,0.2874,0.2878,17.6825,17.7025
07/11/2022,608,A,TMT,1.4537,1.4581,3.4900,3.5000
07/11/2022,622,A,MZN,0.07828,0.08046,63.2400,65.0000
07/11/2022,625,A,ERN,0.3358,0.3392,15.0000,15.1500
